Country name,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Kyrgyzstan,0.15477357276066428,0.12363188206682629,0.18400231789008428,-0.7924801973214224,1.1173856483758982,0.47790771535489784,1.5026486324869543,1.2266953299893928,-1.1697785267425165,-0.3365572149037357
Montenegro,0.1478805235522995,0.14360606698506193,0.15197519034207665,0.5496102783858143,0.5883144344736451,0.4713291176098347,0.03072578226939285,-0.4904417145765778,0.06299853359829913,-0.6723864216734262
Mongolia,0.13704858908201276,0.11164737111588562,0.16265089952474615,-0.016300212337933502,1.2305203733612848,-0.7588686607169688,-0.9238380463370457,1.4058748476832328,-0.8676272864629049,-0.030226519539490727
Colombia,0.1360638677665327,0.13461768377185576,0.1374174050929815,0.20175704096846495,0.33209755730085605,0.8726235800586855,0.118166743668456,-1.0578435206070724,-0.819283088018167,-0.13006763506561458
Bulgaria,-0.09239147742496741,-0.10207640750923111,-0.08289041167664969,0.700173619954518,1.0907657130852186,0.33975716270857215,-0.0567151791296703,-0.8935956293877186,-1.4598437174109435,-1.2827786961399585
Armenia,-0.10026924794881223,-0.11106479072243727,-0.08968404479289438,0.21992847874399787,0.04260576101471705,0.5765866815308447,0.16188722436798758,-1.3714076765712933,0.5585265676568619,-0.6224658639103641
South Africa,-0.13276505135967248,-0.12205059242746585,-0.143062590706241,0.07715289622195155,0.758016521951726,-1.2719992848318924,-0.6615151621398563,-0.9682537617601522,-1.1214343282977786,0.09003664234425024
North Macedonia,-0.1849552810801444,-0.2029460413463187,-0.16732556612139904,0.3004019888927881,0.45188726610891267,0.3529143581986984,-0.3481850504598808,0.763814909280305,-1.3510692709102834,-0.892490699083291
Algeria,-0.1898788876575473,-0.1949563673790246,-0.18576542743691812,-0.09158188312228506,0.16572296173410972,0.3463357604536353,-2.774671729283881,-0.7741426175918251,0.8848499071588428,0.20349245544211883
Albania,-0.2489621665863831,-0.23090990023184751,-0.2663185058152418,0.2043529606506837,-0.722717378592315,0.8068376026080543,0.45335709569819727,-0.07235617329095004,-0.9401435841300115,-0.5112791670744531
Tajikistan,-0.2716107568424375,-0.3098079306588771,-0.23429137826723417,0.18747948271626014,0.3204513356111836,0.2246317021699685,0.09630650331869021,-0.0947536130026801,-0.07599103693032234,-0.02001549636068268
Congo (Brazzaville),-0.3306940357712733,-0.27485310705196536,-0.3837513068246054,-1.2130191858409047,-1.7276199358154622,-1.3772568487529024,-0.76352961710543,-0.281398943933764,0.13551483126540598,2.18670006839286
Mozambique,-0.33561764234867625,-0.264866014592848,-0.4031616871567311,-2.0748645203376217,-0.859144546957047,-2.3640465105123707,0.7302534734618973,0.2262763561987838,0.8365057087141049,2.002901651174313
Georgia,-0.3661440031285755,-0.3877072518399936,-0.34493054616035307,0.2796346314350358,-0.5031029124442102,0.05687745967085837,0.38048962786564544,-2.132920626770115,0.5706126172680465,-0.6905393517690852
